2020-01-21 00:53:17 status unpacked base-files:armhf 9.9+deb9u11
2020-01-21 00:53:17 status unpacked base-files:armhf 9.9+deb9u11
2020-01-21 00:53:17 upgrade base-passwd:armhf 3.5.43 3.5.43
2020-01-21 00:53:17 status half-configured base-passwd:armhf 3.5.43
2020-01-21 00:53:17 status unpacked base-passwd:armhf 3.5.43
2020-01-21 00:53:17 status half-installed base-passwd:armhf 3.5.43
2020-01-21 00:53:17 status half-installed base-passwd:armhf 3.5.43
2020-01-21 00:53:17 status unpacked base-passwd:armhf 3.5.43
2020-01-21 00:53:18 status unpacked base-passwd:armhf 3.5.43
2020-01-21 00:53:18 install bash:armhf <none> 4.4-5
2020-01-21 00:53:18 status half-installed bash:armhf 4.4-5
2020-01-21 00:53:18 status unpacked bash:armhf 4.4-5
2020-01-21 00:53:19 status unpacked bash:armhf 4.4-5
2020-01-21 00:53:19 install libbz2-1.0:armhf <none> 1.0.6-8.1
2020-01-21 00:53:19 status half-installed libbz2-1.0:armhf 1.0.6-8.1
2020-01-21 00:53:19 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2020-01-21 00:53:19 status unpacked libbz2-1.0:armhf 1.0.6-8.1
2020-01-21 00:53:19 install libdebconfclient0:armhf <none> 0.227
2020-01-21 00:53:19 status half-installed libdebconfclient0:armhf 0.227
2020-01-21 00:53:20 status unpacked libdebconfclient0:armhf 0.227
2020-01-21 00:53:20 status unpacked libdebconfclient0:armhf 0.227
2020-01-21 00:53:20 install coreutils:armhf <none> 8.26-3
2020-01-21 00:53:20 status half-installed coreutils:armhf 8.26-3
2020-01-21 00:53:20 status unpacked coreutils:armhf 8.26-3
2020-01-21 00:53:20 status unpacked coreutils:armhf 8.26-3
2020-01-21 00:53:21 install dash:armhf <none> 0.5.8-2.4
2020-01-21 00:53:21 status half-installed dash:armhf 0.5.8-2.4
2020-01-21 00:53:22 status unpacked dash:armhf 0.5.8-2.4
2020-01-21 00:53:22 status unpacked dash:armhf 0.5.8-2.4
2020-01-21 00:53:22 install libdb5.3:armhf <none> 5.3.28-12+deb9u1
2020-01-21 00:53:22 status half-installed libdb5.3:armhf 5.3.28-12+deb9u1
2020-01-21 00:53:22 status unpacked libdb5.3:armhf 5.3.28-12+deb9u1
2020-01-21 00:53:22 status unpacked libdb5.3:armhf 5.3.28-12+deb9u1
2020-01-21 00:53:23 install debconf:all <none> 1.5.61
2020-01-21 00:53:23 status half-installed debconf:all 1.5.61
2020-01-21 00:53:24 status unpacked debconf:all 1.5.61
2020-01-21 00:53:24 status unpacked debconf:all 1.5.61
2020-01-21 00:53:24 install debianutils:armhf <none> 4.8.1.1
2020-01-21 00:53:24 status half-installed debianutils:armhf 4.8.1.1
2020-01-21 00:53:25 status unpacked debianutils:armhf 4.8.1.1
